Scoring Metric,Dummy Classifier,Logistic Regression,Logistic Regression Optimized
fit_time,1.543 (+/- 0.035),7.728 (+/- 0.206),6.306 (+/- 0.182)
score_time,4.266 (+/- 0.136),5.212 (+/- 0.091),5.370 (+/- 0.139)
test_accuracy,0.985 (+/- 0.000),0.766 (+/- 0.002),0.767 (+/- 0.002)
test_f1,0.000 (+/- 0.000),0.088 (+/- 0.002),0.088 (+/- 0.001)
test_recall,0.000 (+/- 0.000),0.741 (+/- 0.020),0.741 (+/- 0.015)
test_precision,0.000 (+/- 0.000),0.047 (+/- 0.001),0.047 (+/- 0.001)
test_average_precision,0.015 (+/- 0.000),0.090 (+/- 0.006),0.090 (+/- 0.006)
