score_type,Logistic Regression,Logistic Regression Optimized
fit_time,0.264 (+/- 0.013),0.202 (+/- 0.020)
score_time,0.406 (+/- 0.004),0.400 (+/- 0.010)
test_score,0.792 (+/- 0.006),0.796 (+/- 0.006)
train_score,0.793 (+/- 0.005),0.796 (+/- 0.006)
